id_horario,id_ruta,hora_salida,autobus
1,1,06:00,ADO Conecta/Primera
2,1,09:00,ADO Conecta/Primera
3,1,12:00,ADO Conecta/Primera
4,1,15:00,ADO Conecta/Primera
5,1,18:00,ADO Conecta/Primera
6,1,21:00,ADO Conecta/Primera
7,1,23:30,ADO Conecta/Primera
8,2,06:00,ADO Conecta/Primera
9,2,09:00,ADO Conecta/Primera
10,2,12:00,ADO Conecta/Primera
11,2,15:00,ADO Conecta/Primera
12,2,18:00,ADO Conecta/Primera
13,2,21:00,ADO Conecta/Primera
14,2,23:30,ADO Conecta/Primera
15,3,06:00,ADO GL
16,3,09:00,ADO GL
17,3,12:00,ADO GL
18,3,15:00,ADO GL
19,3,18:00,ADO GL
20,3,21:00,ADO GL
21,3,23:30,ADO GL
22,4,06:00,ADO GL
23,4,09:00,ADO GL
24,4,12:00,ADO GL
25,4,15:00,ADO GL
26,4,18:00,ADO GL
27,4,21:00,ADO GL
28,4,23:30,ADO GL
29,5,06:00,ADO GL
30,5,09:00,ADO GL
31,5,12:00,ADO GL
32,5,15:00,ADO GL
33,5,18:00,ADO GL
34,5,21:00,ADO GL
35,5,23:30,ADO GL
36,6,06:00,ADO Conecta/Primera
37,6,09:00,ADO Conecta/Primera
38,6,12:00,ADO Conecta/Primera
39,6,15:00,ADO Conecta/Primera
40,6,18:00,ADO Conecta/Primera
41,6,21:00,ADO Conecta/Primera
42,6,23:30,ADO Conecta/Primera
43,7,06:00,ADO Conecta/Primera
44,7,09:00,ADO Conecta/Primera
45,7,12:00,ADO Conecta/Primera
46,7,15:00,ADO Conecta/Primera
47,7,18:00,ADO Conecta/Primera
48,7,21:00,ADO Conecta/Primera
49,7,23:30,ADO Conecta/Primera
50,8,06:00,ADO GL
51,8,09:00,ADO GL
52,8,12:00,ADO GL
53,8,15:00,ADO GL
54,8,18:00,ADO GL
55,8,21:00,ADO GL
56,8,23:30,ADO GL
